n,heapsort.ticks
150000,17459463
180000,21270005
210000,25117722
240000,29000724
270000,32907303
300000,36872045
330000,40879116
360000,44887279
390000,48937219
420000,52970634
450000,57048879
480000,61119974
510000,65210177
540000,69316624
570000,73489921
600000,77648725
630000,81827187
660000,86059466
690000,90248979
720000,94468086
750000,98693812
780000,102929578
810000,107184730
840000,111405521
870000,115678707
900000,119929953
930000,124196644
960000,128478594
990000,132751858
1020000,137034964
1050000,141352535
1080000,145671026
1110000,150037553
1140000,154365157
1170000,158756756
1200000,163117591
1230000,167485538
1260000,171858683
1290000,176253376
1320000,180645792
1350000,185061081
1380000,189453320
1410000,193867240
1440000,198296851
1470000,202712508
