n,heapsort.time
150000,159
180000,190
210000,245
240000,316
270000,362
300000,569
330000,557
360000,623
390000,552
420000,587
450000,904
480000,919
510000,1110
540000,789
570000,942
600000,1376
630000,1079
660000,1146
690000,1338
720000,1171
750000,1143
780000,1462
810000,1577
840000,1790
870000,1478
900000,1960
930000,1675
960000,1778
990000,1819
1020000,1907
1050000,2146
1080000,2304
1110000,2040
1140000,2080
1170000,2336
1200000,2598
1230000,2705
1260000,2390
1290000,2799
1320000,3244
1350000,2793
1380000,2927
1410000,3877
1440000,3338
1470000,3166
