n,sortusingbst.ticks
100,3492
200,7356
300,12064
400,17356
500,21888
600,27212
700,30380
800,38124
900,40648
1000,44608
1100,49684
1200,59692
1300,67716
1400,70848
1500,71304
1600,84156
1700,94748
1800,87596
1900,108216
2000,102652
2100,110696
2200,124300
2300,126188
2400,119184
2500,132760
2600,147928
2700,153740
2800,146840
2900,161076
3000,167520
3100,172396
3200,186760
3300,181032
3400,192752
3500,195728
3600,204448
3700,223628
3800,214340
3900,249132
4000,237292
4100,274672
4200,247776
4300,247952
4400,254800
4500,279444
4600,281664
4700,305220
4800,292172
4900,283784
5000,292924
5100,325232
5200,301392
5300,330980
5400,340100
5500,359876
5600,330736
5700,352308
5800,341960
5900,360284
6000,360636
6100,383064
6200,374128
6300,389620
6400,423864
6500,416872
6600,416232
6700,431668
6800,438752
6900,441808
7000,433424
7100,468888
7200,457640
7300,483336
7400,486920
7500,461368
7600,468104
7700,486184
7800,535072
7900,483616
8000,493688
8100,536776
8200,560492
8300,585048
8400,553048
8500,547748
8600,543056
8700,558164
8800,568552
8900,584816
9000,620824
9100,579312
9200,599664
9300,594692
9400,621980
9500,611756
9600,644152
9700,592084
9800,717728
9900,637648
