n,sortusingbst.time
100,0
200,1
300,1
400,1
500,1
600,3
700,4
800,4
900,6
1000,7
1100,9
1200,10
1300,12
1400,14
1500,16
1600,18
1700,22
1800,24
1900,27
2000,31
2100,35
2200,39
2300,52
2400,48
2500,61
2600,62
2700,67
2800,77
2900,87
3000,92
3100,93
3200,104
3300,126
3400,110
3500,101
3600,106
3700,111
3800,116
3900,128
4000,128
4100,145
4200,172
4300,186
4400,184
4500,286
4600,464
4700,265
4800,246
4900,308
5000,384
5100,278
5200,332
5300,295
5400,303
5500,390
5600,317
5700,303
5800,296
5900,346
6000,424
6100,343
6200,383
6300,708
6400,573
6500,412
6600,398
6700,432
6800,555
6900,529
7000,508
7100,559
7200,490
7300,529
7400,657
7500,576
7600,546
