n,sortusingunorderedlist.time
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,1
900,1
1000,1
1100,1
1200,2
1300,2
1400,2
1500,2
1600,3
1700,3
1800,4
1900,4
2000,5
2100,6
2200,6
2300,6
2400,7
2500,7
2600,9
2700,8
2800,9
2900,10
3000,12
3100,12
3200,13
3300,14
3400,14
3500,15
3600,15
3700,17
3800,17
3900,18
4000,18
4100,19
4200,20
4300,23
4400,22
4500,23
4600,25
4700,25
4800,26
4900,27
5000,27
5100,29
5200,32
5300,31
5400,32
5500,39
5600,36
5700,38
5800,40
5900,42
6000,42
6100,42
6200,53
6300,52
6400,48
6500,50
6600,56
6700,60
6800,67
6900,91
7000,73
7100,68
7200,80
7300,68
7400,77
7500,72
7600,80
7700,91
7800,85
7900,91
8000,84
8100,84
8200,81
8300,82
8400,83
8500,92
8600,91
8700,105
8800,99
8900,98
9000,102
9100,106
9200,114
9300,126
9400,116
9500,116
9600,111
9700,113
9800,117
9900,120
