Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
0,2347,-834880544,-1972430150
1,2353,-1365362750,-200872025
2,2353,92547853,-473677836
3,2347,934993708,1005400710
4,2378,2021722171,-1341569686
5,2223,69303594,-202831629
6,2384,1768110144,394808106
7,2254,-1364097080,-1220680375
8,2347,985985114,-1975719887
9,2316,2042947993,368958724
10,2347,1286652652,-652230332
11,2223,-1237654806,2033046572
12,2223,-1642264013,-1037398218
13,2353,-2014850558,1445791208
14,2229,-976083055,-862985754
15,2285,1061628858,73811009
16,2316,-1548650067,1234200690
17,2347,552127725,286019946
18,2254,221611730,-2097117678
19,2285,-1959108947,196602268
20,2353,629389374,-1032579736
21,2316,-478002945,793988792
22,2291,809615757,-1611935330
23,2353,1556378554,-1432876144
24,2316,-1168514285,1254317628
25,2285,-1141377437,-360794441
26,2347,510135981,1018097961
27,2285,-1918556734,1899609864
28,2378,-2028091730,-1645401123
29,2229,1842951071,-1560349253
30,2291,580591700,-480739750
31,2285,-1836357075,-1315275057
32,2384,-1665940409,681671886
33,2254,-2019442163,599973320
34,2316,1860581109,1335232711
35,2254,-557470594,1908815925
36,2291,-1454009574,1419723055
37,2384,-1421474441,2057243019
38,2260,194719987,-1278614297
39,2384,51846807,-2020348453
40,2347,794453462,803444964
41,2291,-309855623,475189448
42,2347,-388886852,852289804
43,2254,-682421632,838027473
44,2254,-1607659349,-323698940
45,2254,243253909,1460895710
46,2260,-459403284,790050556
47,2378,-1830777359,-596150316
48,2254,-1215085972,-2114032786
49,2254,2044581102,12584914
50,2316,22034662,1202770022
51,2316,1460740393,1736307487
52,2260,-999730230,-116884069
53,2378,-1774136187,970222188
54,2353,-436089669,2086091132
55,2316,-1312070729,774451045
56,2254,-1327329214,-936383740
57,2285,-1012129814,-409088151
58,2229,335544375,1036151136
59,2353,-20452801,-136518408
60,2316,1462208483,1032555850
61,2254,-1937014279,-921879413
62,2353,467310817,239464697
63,2285,1490917961,1849660806
64,2254,974016587,1667154532
65,2254,-1840408860,1743892343
66,2384,1311705738,1954737757
67,2322,-2022726983,-1505316865
68,2223,340504001,468949111
69,2291,311107440,-666866794
70,2254,-950129992,-215601672
71,2322,-1936026238,-1217039976
72,2291,2101877635,1214294422
73,2254,-1231363313,-992087839
74,2353,-663247672,974388444
75,2316,1456985109,1431510622
76,2260,433310004,-1910696075
77,2223,327573148,-1202691536
78,2260,788184090,-218886737
79,2285,179188612,924824439
80,2229,689325164,2034638510
81,2322,-752330856,1978714619
82,2316,1168988788,-717960485
83,2378,-91369549,-716244016
84,2223,2056876092,1906181326
85,2384,251474989,-642016850
86,2384,249244904,-1859314262
87,2254,1892020885,1989538664
88,2378,-653196678,1703306397
89,2254,565552178,-1688484765
90,2316,1509950878,1916269326
91,2229,-1990555368,-258095708
92,2223,-958818629,822367741
93,2378,1714395705,-1223613690
94,2316,344681126,-1788873728
95,2347,-115948220,294683194
96,2322,-975990237,192184838
97,2347,785143236,-754033557
98,2223,-917661468,-2046640966
99,2223,-1733883376,-1538343381
100,2316,1111619302,1532858197
101,2285,-1300170671,749719196
102,2378,12111153,-462485478
103,2316,1621807643,-1128518593
104,2322,234620180,181122582
105,2378,109926624,1264730071
106,2254,-287464292,-501039724
107,2347,-1977640700,2001288837
108,2223,-1037793723,1464182940
109,2384,333083958,-1251062890
110,2316,-1628738078,-1500734289
111,2378,746351503,-52836491
112,2260,243710845,1033162545
113,2316,-951280525,-1356649736
114,2378,495350604,-346340921
115,2322,-310139192,-1857752081
116,2285,-976624117,-686183298
117,2353,-318503828,-2074259211
118,2254,-362056791,-325953370
119,2285,112372420,957939695
120,2229,943451588,3740727
121,2384,1232453309,873982581
122,2316,1230904255,-648942739
123,2254,-986662349,507892357
124,2229,-184094684,738833962
125,2353,1693438,235134967
126,2322,-2086932938,-2108066685
127,2378,923845756,-455017429
128,2384,-156186943,-1627961708
129,2353,-1538753820,1620798762
130,2316,713813143,-850225844
131,2260,1803151035,-966151045
132,2254,1080539689,899211320
133,2353,662110821,1510047678
134,2254,-1551942746,1954314769
135,2229,-1048865178,-2026547749
136,2285,46680654,1666357185
137,2291,-247280025,-1711240916
138,2353,1279968257,2014178402
139,2229,1195234366,-750937108
140,2378,-1878097095,1715996728
141,2322,-510188570,1496956554
142,2229,1699181463,-752583561
143,2285,304379948,1550240553
144,2285,-304929571,-278022916
145,2291,-1601601807,609331181
146,2223,1824734859,-476100565
147,2322,-51202978,-2008477256
148,2353,836472818,-1191287894
149,2291,-679976247,-398670947
150,2223,1012009504,60908016
151,2378,1348810019,1028117168
152,2229,2095013003,-1715343890
153,2223,123231601,-1068763272
154,2254,2004441974,2010516954
155,2291,-336862184,-1717108143
156,2384,-1142037488,-1530254781
157,2260,746542530,1383234620
158,2353,1987072301,-1206718368
159,2384,496807437,-1208569867
160,2378,-176834771,-649225333
161,2316,-1453514790,-1092937257
162,2384,1380146038,-2040691119
163,2384,-2133253711,-198701571
164,2260,-1386945577,359007306
165,2384,-424960242,-1743306099
166,2223,1168838354,-2090868388
167,2285,-1562587696,-1640291819
168,2316,-1278926076,-1219425004
169,2229,-653083867,787057421
170,2322,260604921,45463387
171,2223,349626216,-1148763399
172,2229,1867800984,-1251245164
173,2229,1645312044,-562807438
174,2347,-207282308,-1712716211
175,2260,520050846,-1070163837
176,2223,816364231,-1640216377
177,2285,-682992386,1230687323
178,2260,-467920221,1336519740
179,2291,752796776,-1457091617
180,2316,1553785740,-422371005
181,2378,1324338440,-1256725069
182,2229,269777699,-170630481
183,2384,-80678657,-321395524
184,2223,955740653,2096011927
185,2378,-1303035358,-1848057047
186,2316,-339478388,1313439405
187,2378,-1460119008,-1460135005
188,2229,-1309521417,-198792498
189,2316,-590676024,-1916172544
190,2322,-1320303928,938062820
191,2316,-697173279,-1769143436
192,2285,750160868,498644340
193,2353,1218780114,-1876659617
194,2322,1595219767,-2088632569
195,2285,-1493563624,34980470
196,2316,-1578389418,-638006502
197,2353,-900884242,-45626217
198,2291,2056044576,-1640068007
199,2384,1304996905,-1221192104
200,2254,1051736384,105783934
201,2316,-955940581,-2081047485
202,2384,-1642387088,948859970
203,2353,-817047529,745153957
204,2223,-1159592872,482745758
205,2384,-1766445023,1526870644
206,2378,1472203426,1673867700
207,2223,793939907,797181761
208,2229,946512776,1830757105
209,2316,157622255,-86694734
210,2254,1378527304,318967471
